iter	RMSE
0	0.4908215151
1	0.4851790199
2	0.479871924
3	0.4746238558
4	0.4696314521
5	0.4645243436
6	0.4600953889
7	0.4561245667
8	0.4518694127
9	0.4479634719
10	0.4450254888
11	0.441525153
12	0.4381724189
13	0.4349173732
14	0.4319638012
15	0.4288864561
16	0.4258469802
17	0.4228719499
18	0.420275227
19	0.4170897789
20	0.414873399
21	0.4124742854
22	0.410307876
23	0.4088714237
24	0.4069466499
25	0.4051584282
26	0.4031551783
27	0.4013666789
28	0.3998777133
29	0.3983391037
30	0.3965134472
31	0.3952073694
32	0.394207359
33	0.392767505
34	0.3915956082
35	0.3901610389
36	0.3886937427
37	0.3875531309
38	0.386662983
39	0.3859167891
40	0.3847804402
41	0.3833119536
42	0.3822135691
43	0.3814727995
44	0.3806360688
45	0.3797417726
46	0.378885678
47	0.3780567336
48	0.3773479078
49	0.3765147283
50	0.3754404054
51	0.3747112449
52	0.3740981977
53	0.3732669648
54	0.3725039357
55	0.3718397715
56	0.3713939454
57	0.3708841564
58	0.3703008226
59	0.3698539052
60	0.3695059416
61	0.3690031712
62	0.3684329091
63	0.3677819233
64	0.3670704875
65	0.3662681598
66	0.3656056998
67	0.3649194879
68	0.3645725759
69	0.3637338505
70	0.3632673906
71	0.3624241067
72	0.3618104825
73	0.3613273093
74	0.3605749018
75	0.3601303363
76	0.3593311411
77	0.358989002
78	0.3584367222
79	0.3577788254
80	0.357265826
81	0.3569063261
82	0.3563030739
83	0.3561506778
84	0.3558121324
85	0.3552805657
86	0.3547963099
87	0.3542220625
88	0.3541469173
89	0.3536110305
90	0.3530769372
91	0.3527007264
92	0.3526740429
93	0.3524034878
94	0.3521516733
95	0.3515499318
96	0.3513658306
97	0.3509414391
98	0.350639706
99	0.3500891177
100	0.3498189072
101	0.3495181041
102	0.3491371667
103	0.3489449552
104	0.3487829907
105	0.3485123393
106	0.3479028884
107	0.3474261802
108	0.3473540061
109	0.3466641611
110	0.3463597646
111	0.3461953489
112	0.3458819355
113	0.3456190074
114	0.3451917113
115	0.3450599201
116	0.3445585857
117	0.3440957497
118	0.3434878554
119	0.3434012399
120	0.3427784416
121	0.3421430449
122	0.3417759413
123	0.3413984344
124	0.3412237572
125	0.3406649383
126	0.3405609939
127	0.3403915603
128	0.3400270889
129	0.339424655
130	0.339120418
131	0.338927584
132	0.3386617958
133	0.3382074717
134	0.337725799
135	0.3375162637
136	0.3372634532
137	0.3368532838
138	0.3364931785
139	0.3361907463
140	0.3358783683
141	0.3357917248
142	0.3353760237
143	0.3351874577
144	0.3350419858
145	0.3344891739
146	0.3343071609
147	0.3338557028
148	0.3334520139
149	0.3328380016
150	0.3325078915
151	0.3322265741
152	0.3321952201
153	0.3320422878
154	0.3319076741
155	0.3315858922
156	0.3311459176
157	0.3308818855
158	0.3303772258
159	0.3299042904
160	0.3293047711
161	0.3291662684
162	0.3290189173
163	0.3284367434
164	0.3283225986
165	0.3280859022
166	0.3279879268
167	0.3275304585
168	0.3274086692
169	0.327330639
170	0.3272501367
171	0.3268568003
172	0.32659574
173	0.3261528031
174	0.326025455
175	0.3255568385
176	0.3253175009
177	0.3250604786
178	0.3243998246
179	0.3240220731
180	0.3236040567
181	0.3231633196
182	0.3228446079
183	0.3223762844
184	0.3222217209
185	0.3219109948
186	0.3214962917
187	0.3211302308
188	0.3208117241
189	0.3204458418
190	0.3202198224
191	0.320004172
192	0.3197634305
193	0.3192122544
194	0.3186072262
195	0.318259405
196	0.3180397618
197	0.3176573706
198	0.3174608505
199	0.3173674655
200	0.3171451748
201	0.3169225035
202	0.3164824113
203	0.3163495641
204	0.3160814665
205	0.3160260168
206	0.3156552547
207	0.314975515
208	0.3148819735
209	0.3146775053
210	0.3142707365
211	0.3138991744
212	0.3137015512
213	0.3135657767
214	0.3132581246
215	0.3129309256
216	0.3128134062
217	0.3127118766
218	0.3126636653
219	0.3125743167
220	0.312400196
221	0.3121721292
222	0.3119727347
223	0.3116951813
224	0.3116453452
225	0.3115641465
226	0.311130212
227	0.3109913931
228	0.3108744881
229	0.3105786366
230	0.3101515377
231	0.3096696841
232	0.3093715711
233	0.3091716697
234	0.3090318688
235	0.3088743504
236	0.3088158406
237	0.3087149522
238	0.3083168914
239	0.3082416025
240	0.308182846
241	0.3077329181
242	0.3072175198
243	0.3068655504
244	0.3061654977
245	0.3061107396
246	0.3058775765
247	0.305464583
248	0.3054309847
249	0.3053569016
250	0.305056555
251	0.3050111884
252	0.3046710259
253	0.3045700504
254	0.3042318362
255	0.3041639166
256	0.303855881
257	0.3037607685
258	0.3036938501
259	0.3036625397
260	0.3034868135
261	0.303014855
262	0.3024919186
263	0.3022617839
264	0.3020837104
265	0.3020335707
266	0.3015019303
267	0.3007845005
268	0.300588373
269	0.3005217077
270	0.3001822124
271	0.3001208654
272	0.2996905187
273	0.2996415587
274	0.2995760638
275	0.2995087605
276	0.2994000648
277	0.2990761946
278	0.2990076814
279	0.2985220024
280	0.2983277066
281	0.2979717814
282	0.2975461653
283	0.297427783
284	0.2973913918
285	0.2972634932
286	0.2971389919
287	0.2970901993
288	0.2970268209
289	0.2969865779
290	0.2966548926
291	0.2964714078
292	0.2963994705
293	0.296072517
294	0.2960157082
295	0.2956547791
296	0.2955359212
297	0.2951424247
298	0.2944961498
299	0.2940457564
300	0.2939730539
301	0.2939174835
302	0.2936056906
303	0.2935743327
304	0.2932714784
305	0.2927302361
306	0.2925407514
307	0.292465552
308	0.2921223101
309	0.2917571083
310	0.2911381924
311	0.291074846
312	0.2906371565
313	0.2905855952
314	0.2905499638
315	0.2902318094
316	0.2900274295
317	0.2896161261
318	0.2895270932
319	0.2894745483
320	0.2891956576
321	0.289166248
322	0.2889704473
323	0.2886537714
324	0.2883626223
325	0.288329236
326	0.2880956185
327	0.2877602518
328	0.2874861299
329	0.2870311186
330	0.2868803573
331	0.2868455426
332	0.2868109241
333	0.2865970223
334	0.2860928688
335	0.2858375444
336	0.2852140452
337	0.2849053241
338	0.2846319017
339	0.2841990674
340	0.2839679594
341	0.2838702653
342	0.283822434
343	0.2834123672
344	0.2833519344
345	0.2827842007
346	0.2826552509
347	0.2823342875
348	0.2818075606
349	0.2815574781
350	0.2815338467
351	0.2809871183
352	0.2805353357
353	0.2798134884
354	0.279524104
355	0.279406338
356	0.2791401881
357	0.279085985
358	0.2790054001
359	0.2784825494
360	0.2782115619
361	0.2779651129
362	0.2779222691
363	0.2774313674
364	0.27692461
365	0.2768519961
366	0.2768025885
367	0.2765179883
368	0.2764811949
369	0.2763648322
370	0.2757555963
371	0.2756436055
372	0.2753728975
373	0.2749830387
374	0.2742859257
375	0.2742200741
376	0.2741515237
377	0.2739566991
378	0.2738826359
379	0.2735003063
380	0.2732424909
381	0.2730629165
382	0.2724655205
383	0.2719927371
384	0.2719307334
385	0.2718637137
386	0.271479031
387	0.2712469497
388	0.2709763406
389	0.2709025525
390	0.2707557937
391	0.2704904211
392	0.2702631042
393	0.2696850453
394	0.2692694603
395	0.2690470033
396	0.2690123277
397	0.2686423722
398	0.2681722916
399	0.2681346303
400	0.2679008772
401	0.267837972
402	0.2677801875
403	0.2677278688
404	0.2676532927
405	0.26755209
406	0.266887431
407	0.2667657341
408	0.2662172148
409	0.2661515257
410	0.2659454048
411	0.2655732644
412	0.2655152275
413	0.2654668382
414	0.2654246944
415	0.2653575474
416	0.2652932925
417	0.2649683855
418	0.2649432179
419	0.2648718199
420	0.2647583748
421	0.2644222889
422	0.2643953952
423	0.2640961649
424	0.2639476245
425	0.2635891661
426	0.2635241585
427	0.263101717
428	0.2625864672
429	0.2621956566
430	0.2619741642
431	0.261451255
432	0.2610752417
433	0.2610230215
434	0.260993712
435	0.2607626506
436	0.260153859
437	0.2596222692
438	0.2591137666
