iter	Passed	Remaining
0	58	58025
1	58	29170
2	59	19642
3	59	14793
4	59	11881
5	60	9961
6	60	8547
7	60	7500
8	61	6791
9	61	6137
10	62	5596
11	62	5174
12	63	4806
13	63	4503
14	64	4238
15	65	3998
16	65	3785
17	65	3600
18	66	3419
19	66	3263
20	66	3117
21	67	2985
22	67	2873
23	67	2762
24	68	2658
25	68	2563
26	68	2475
27	68	2393
28	69	2319
29	69	2250
30	69	2186
31	70	2135
32	70	2077
33	71	2036
34	72	1990
35	72	1947
36	73	1902
37	73	1864
38	73	1822
39	74	1783
40	74	1744
41	75	1713
42	75	1678
43	75	1644
44	76	1618
45	76	1587
46	77	1563
47	77	1539
48	78	1518
49	78	1492
50	78	1467
51	79	1444
52	79	1420
53	79	1399
54	80	1381
55	80	1363
56	81	1347
57	81	1329
58	82	1310
59	82	1293
60	82	1273
61	83	1257
62	83	1239
63	83	1223
64	84	1211
65	84	1199
66	85	1188
67	85	1175
68	86	1160
69	86	1146
70	86	1135
71	87	1124
72	87	1114
73	88	1102
74	88	1091
75	88	1080
76	89	1068
77	89	1060
78	89	1048
79	90	1037
80	90	1026
81	90	1018
82	91	1009
83	91	1000
84	92	994
85	92	986
86	93	980
87	93	973
88	94	963
89	94	955
90	94	948
91	95	943
92	95	933
93	95	924
94	96	917
95	96	910
96	97	904
97	97	901
98	98	893
99	98	886
100	99	882
101	99	875
102	99	868
103	100	863
104	100	856
105	101	851
106	101	846
107	101	840
108	101	833
109	102	827
110	102	821
111	102	816
112	103	812
113	104	808
114	104	805
115	105	802
116	105	796
117	105	791
118	106	787
119	106	782
120	107	777
121	107	774
122	107	768
123	108	763
124	108	758
125	108	753
126	109	749
127	109	746
128	110	742
129	110	739
130	110	735
131	111	731
132	111	728
133	112	725
134	112	721
135	113	718
136	113	714
137	113	710
138	114	706
139	114	704
140	115	701
141	115	697
142	115	694
143	116	692
144	116	689
145	117	685
146	117	681
147	117	677
148	118	674
149	118	671
150	118	667
151	119	665
152	119	661
153	119	657
154	119	653
155	120	651
156	120	647
157	121	646
158	121	643
159	121	639
160	122	636
161	122	634
162	122	630
163	123	627
164	123	625
165	123	622
166	124	619
167	124	617
168	125	614
169	125	612
170	125	609
171	125	606
172	126	604
173	126	602
174	127	599
175	127	596
176	127	593
177	127	590
178	128	588
179	128	585
180	128	583
181	129	581
182	130	580
183	130	578
184	130	575
185	131	573
186	131	571
187	131	569
188	132	566
189	132	564
190	132	561
191	132	559
192	133	558
193	134	557
194	134	555
195	134	553
196	135	551
197	135	549
198	136	548
199	136	545
200	137	544
201	137	543
202	138	541
203	138	539
204	138	537
205	139	535
206	139	534
207	139	532
208	140	530
209	140	530
